# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
1570 599 0.0 0.0 367.245 163.508 27.621 0.0
1569 597 0.0 0.0 387.343 172.456 27.617 0.0
323 2904 0.0 0.0 28.223 -268.521 27.617 0.0
1463 2667 0.0 0.0 30.522 -290.400 27.613 0.0
323 2906 0.0 0.0 30.522 -290.400 27.600 0.0
156 385 0.0 0.0 -245.000 424.353 27.598 0.0
1184 2881 0.0 0.0 307.138 -65.284 27.596 0.0
1879 2074 0.0 0.0 -180.665 200.649 27.596 0.0
136 293 0.0 0.0 234.000 405.300 27.595 0.0
1436 1175 0.0 0.0 180.665 200.649 27.594 0.0
1870 2088 0.0 0.0 124.225 -382.325 27.579 0.0
148 400 0.0 0.0 -168.000 290.985 27.578 0.0
1872 2087 0.0 0.0 117.426 -361.402 27.565 0.0
1467 1251 0.0 0.0 -30.522 -290.400 27.550 0.0
1871 2113 0.0 0.0 -83.435 -256.785 27.549 0.0
154 390 0.0 0.0 -212.000 367.195 27.539 0.0
1436 1176 0.0 0.0 180.665 200.649 27.537 0.0
1401 2688 0.0 0.0 -246.657 -109.819 27.528 0.0
1188 2881 0.0 0.0 285.619 -60.710 27.524 0.0
164 384 0.0 0.0 -386.757 429.538 27.512 0.0
1463 2664 0.0 0.0 28.223 -268.521 27.511 0.0
165 388 0.0 0.0 28.223 -268.521 27.509 0.0
951 3664 0.0 0.0 246.657 109.819 27.503 0.0
154 394 0.0 0.0 -190.000 329.090 27.494 0.0
139 297 0.0 0.0 234.000 405.300 27.492 0.0
1871 2083 0.0 0.0 90.233 -277.709 27.487 0.0
1465 2666 0.0 0.0 28.223 -268.521 27.479 0.0
963 745 0.0 0.0 -210.107 233.348 27.477 0.0
1211 1176 0.0 0.0 -195.386 -216.998 27.469 0.0
149 398 0.0 0.0 -298.432 331.443 27.463 0.0
1573 597 0.0 0.0 347.147 154.560 27.462 0.0
1183 2882 0.0 0.0 328.658 -69.858 27.449 0.0
1451 1272 0.0 0.0 -254.270 282.395 27.448 0.0
157 395 0.0 0.0 -268.990 298.744 27.442 0.0
1870 2084 0.0 0.0 90.233 -277.709 27.440 0.0
151 398 0.0 0.0 -268.990 298.744 27.438 0.0
1569 598 0.0 0.0 387.343 172.456 27.435 0.0
156 386 0.0 0.0 -245.000 424.353 27.432 0.0
1870 2094 0.0 0.0 151.418 -466.018 27.419 0.0
1182 2869 0.0 0.0 -270.000 0.000 27.398 0.0
1871 2082 0.0 0.0 83.435 -256.785 27.396 0.0
