# t0_x t0_y theta_par theta_perp v_x v_y likelihood est_flux
118 332 0.0 0.0 243.002 148.912 174.261 0.0
120 333 0.0 0.0 230.213 141.075 174.261 0.0
114 334 0.0 0.0 267.302 136.197 174.261 0.0
120 337 0.0 0.0 231.662 118.038 174.261 0.0
114 338 0.0 0.0 267.925 110.978 174.261 0.0
119 389 0.0 0.0 235.726 -201.329 174.205 0.0
129 389 0.0 0.0 172.104 -201.508 174.205 0.0
125 394 0.0 0.0 198.082 -231.924 174.205 0.0
124 395 0.0 0.0 204.576 -239.528 174.205 0.0
129 395 0.0 0.0 173.397 -238.660 174.205 0.0
123 396 0.0 0.0 211.071 -247.132 174.205 0.0
128 396 0.0 0.0 179.274 -246.750 174.205 0.0
132 397 0.0 0.0 154.137 -251.529 174.205 0.0
131 398 0.0 0.0 159.362 -260.055 174.205 0.0
126 399 0.0 0.0 191.030 -262.931 174.205 0.0
125 400 0.0 0.0 196.908 -271.021 174.205 0.0
130 400 0.0 0.0 167.199 -272.845 174.205 0.0
124 401 0.0 0.0 202.786 -279.111 174.205 0.0
128 403 0.0 0.0 177.649 -289.898 174.205 0.0
127 405 0.0 0.0 185.487 -302.687 174.205 0.0
134 401 0.0 0.0 140.737 -276.212 174.179 0.0
118 390 0.0 0.0 243.330 -207.823 173.993 0.0
126 393 0.0 0.0 194.834 -228.122 173.993 0.0
127 397 0.0 0.0 185.152 -254.840 173.993 0.0
127 398 0.0 0.0 188.091 -258.885 173.993 0.0
121 399 0.0 0.0 224.060 -262.340 173.993 0.0
120 400 0.0 0.0 230.554 -269.944 173.993 0.0
119 401 0.0 0.0 237.048 -277.548 173.993 0.0
124 402 0.0 0.0 205.725 -283.156 173.993 0.0
123 403 0.0 0.0 211.603 -291.246 173.993 0.0
126 319 0.0 0.0 194.834 228.122 173.963 0.0
127 320 0.0 0.0 188.340 220.518 173.963 0.0
130 324 0.0 0.0 168.857 197.706 173.963 0.0
126 329 0.0 0.0 193.904 165.609 173.963 0.0
128 385 0.0 0.0 180.312 -180.312 173.961 0.0
129 402 0.0 0.0 172.424 -281.371 173.941 0.0
122 405 0.0 0.0 217.480 -299.336 173.941 0.0
121 406 0.0 0.0 223.358 -307.427 173.941 0.0
125 408 0.0 0.0 195.937 -319.740 173.941 0.0
125 409 0.0 0.0 198.549 -324.003 173.941 0.0
124 410 0.0 0.0 203.774 -332.530 173.941 0.0
125 401 0.0 0.0 199.847 -275.066 173.729 0.0
117 404 0.0 0.0 250.037 -292.756 173.729 0.0
128 404 0.0 0.0 180.262 -294.161 173.729 0.0
124 411 0.0 0.0 206.387 -336.793 173.729 0.0
131 320 0.0 0.0 161.641 222.480 173.716 0.0
126 407 0.0 0.0 190.712 -311.214 173.697 0.0
127 406 0.0 0.0 188.099 -306.951 173.513 0.0
127 306 0.0 0.0 188.100 306.950 173.032 0.0
128 316 0.0 0.0 179.275 246.750 172.447 0.0
131 325 0.0 0.0 162.362 190.101 172.331 0.0
133 403 0.0 0.0 147.547 -289.577 172.058 0.0
127 314 0.0 0.0 188.091 258.885 171.915 0.0
124 301 0.0 0.0 206.387 336.793 171.841 0.0
129 310 0.0 0.0 172.425 281.371 170.647 0.0
132 321 0.0 0.0 155.763 214.389 170.328 0.0
158 345 0.0 0.0 -120.545 291.022 169.188 0.0
131 319 0.0 0.0 164.580 226.525 165.453 0.0
156 346 0.0 0.0 -61.863 257.678 162.420 0.0
158 347 0.0 0.0 -180.312 180.312 158.690 0.0
128 315 0.0 0.0 182.213 250.795 157.709 0.0
159 344 0.0 0.0 -179.326 351.948 157.584 0.0
132 405 0.0 0.0 154.357 -302.942 156.288 0.0
133 323 0.0 0.0 149.885 206.299 155.975 0.0
159 351 0.0 0.0 -258.392 -131.657 154.962 0.0
159 346 0.0 0.0 -185.152 254.840 154.105 0.0
129 384 0.0 0.0 176.777 -176.777 153.908 0.0
157 345 0.0 0.0 -120.545 291.022 153.338 0.0
158 344 0.0 0.0 -177.056 347.493 152.477 0.0
130 318 0.0 0.0 170.458 234.615 151.299 0.0
159 345 0.0 0.0 -188.099 306.950 150.476 0.0
159 347 0.0 0.0 -180.312 180.312 149.478 0.0
129 317 0.0 0.0 173.397 238.660 149.373 0.0
156 345 0.0 0.0 -64.197 267.402 149.175 0.0
159 350 0.0 0.0 -247.275 -80.344 145.609 0.0
123 302 0.0 0.0 203.774 332.530 144.961 0.0
124 303 0.0 0.0 198.549 324.003 144.961 0.0
118 304 0.0 0.0 232.175 319.562 144.961 0.0
124 304 0.0 0.0 195.937 319.740 144.961 0.0
119 305 0.0 0.0 226.297 311.472 144.961 0.0
125 305 0.0 0.0 190.712 311.214 144.961 0.0
120 306 0.0 0.0 223.358 307.426 144.961 0.0
114 307 0.0 0.0 256.532 300.360 144.961 0.0
120 307 0.0 0.0 220.419 303.381 144.961 0.0
126 307 0.0 0.0 185.487 302.687 144.961 0.0
115 308 0.0 0.0 253.285 296.558 144.961 0.0
121 308 0.0 0.0 214.542 295.291 144.961 0.0
116 309 0.0 0.0 246.790 288.954 144.961 0.0
122 309 0.0 0.0 208.664 287.201 144.961 0.0
