# x y xv yv likelihood flux
44 37 22.1804 18.6823 32.7635 42.2975
22 1 17.5517 9.58851 32.7565 23.1623
26 43 14.297 18.0165 32.7325 36.5961
6 5 17.5914 14.817 32.7304 23.1439
24 45 22.8171 12.4651 32.728 36.591
43 34 14.297 18.0165 32.7131 32.7131
31 5 26 0 32.683 25.8382
41 35 18.9827 12.9868 32.6822 32.6822
43 31 19.9001 1.99667 32.6807 36.5381
25 43 16.0243 16.4992 32.6629 36.5182
41 31 26 0 32.6575 36.5122
42 31 22.8851 2.29617 32.6399 36.4925
43 37 13.9341 14.3471 32.6396 32.6396
41 34 20.2045 20.8033 32.6389 32.6389
42 39 20 0 32.6203 36.4706
24 2 17.5517 9.58851 32.6041 23.0546
26 46 22.8171 12.4651 32.5837 42.0654
40 30 18.0267 22.7165 32.5736 29.7355
31 6 14.297 18.0165 32.5697 23.0303
43 35 18.1144 18.6513 32.5623 36.4058
24 42 14.297 18.0165 32.549 32.549
26 45 24.475 20.615 32.5412 42.0105
26 44 20.2045 20.8033 32.5185 41.9812
26 44 18.1144 18.6513 32.5185 41.9812
26 44 22.1804 18.6823 32.5185 41.9812
48 2 13.9341 14.3471 32.5088 51.4009
41 30 21.1844 8.95662 32.5045 32.5045
41 30 20.1844 11.0268 32.5045 32.5045
20 9 16.5067 11.2928 32.5013 22.9819
41 31 25.8701 2.59567 32.4906 36.3256
30 5 26 0 32.4822 25.6794
24 43 19.8859 16.7497 32.4775 36.311
42 38 19.1067 5.9104 32.4737 36.3067
22 9 12.4322 15.6665 32.4713 22.9606
44 36 16.0243 16.4992 32.4635 36.2953
43 31 19.1067 5.9104 32.4598 36.2912
46 38 13.9341 14.3471 32.4512 41.8944
38 29 18.0267 22.7165 32.4482 27.4237
43 37 21.9727 6.79697 32.4363 41.8751
41 35 13.9341 14.3471 32.4319 27.41
47 19 19.1067 5.9104 32.4246 51.2678
47 19 20.1844 11.0268 32.4246 51.2678
47 19 17.5517 9.58851 32.4246 51.2678
47 19 21.9727 6.79697 32.4246 51.2678
47 19 24.8387 7.68353 32.4246 51.2678
47 19 18.4212 7.78837 32.4246 51.2678
47 19 21.1844 8.95662 32.4246 51.2678
47 19 23.9476 10.1249 32.4246 51.2678
47 19 21.4587 14.6807 32.4246 51.2678
47 19 22.8171 12.4651 32.4246 51.2678
47 19 16.5067 11.2928 32.4246 51.2678
47 19 18.9827 12.9868 32.4246 51.2678
28 5 26 0 32.4236 24.1671
45 37 13.9341 14.3471 32.4232 36.2502
24 2 16.5067 11.2928 32.4038 22.9129
44 36 13.9341 14.3471 32.3993 36.2235
44 40 19.6013 3.97339 32.3837 41.8072
45 37 16.0243 16.4992 32.377 41.7985
43 40 19.9001 1.99667 32.3618 36.1815
43 36 12.4322 15.6665 32.3607 29.5411
28 6 18.4212 7.78837 32.3524 22.8766
40 30 30.5708 9.45665 32.3374 36.1543
43 36 21.7563 27.4164 32.3329 41.7416
27 46 16.0243 16.4992 32.3289 41.7365
31 4 22.1804 18.6823 32.3278 24.0957
24 45 20.1844 11.0268 32.319 32.319
45 39 19.1067 5.9104 32.304 41.7042
45 38 19.8859 16.7497 32.3013 41.7008
43 37 21.1844 8.95662 32.3003 36.1128
43 37 20.1844 11.0268 32.3003 36.1128
43 36 18.1144 18.6513 32.2841 36.0947
29 3 14.297 18.0165 32.2707 22.8189
38 31 20 0 32.2703 29.4586
30 6 17.5517 9.58851 32.2593 22.8108
24 44 20.1844 11.0268 32.2545 32.2545
27 46 18.9827 12.9868 32.2472 41.631
27 46 17.5914 14.817 32.2472 41.631
27 46 21.4587 14.6807 32.2472 41.631
25 44 16.5067 11.2928 32.2397 32.2397
40 33 12.4322 15.6665 32.2375 25.486
37 31 20 0 32.235 27.2436
5 2 13.9341 14.3471 32.2304 22.7903
42 34 26.4749 27.2595 32.2177 41.5928
41 37 18.4212 7.78837 32.2159 32.2159
48 1 12.4322 15.6665 32.1853 50.8894
48 1 14.297 18.0165 32.1853 50.8894
42 40 20 0 32.1722 35.9696
42 37 18.9827 12.9868 32.1667 35.9634
42 37 21.4587 14.6807 32.1667 35.9634
37 30 13.9341 14.3471 32.1516 23.9644
24 44 23.9347 16.3746 32.1477 35.9423
18 7 15.2968 12.8844 32.1434 22.7288
30 6 12.4322 15.6665 32.1344 22.7225
25 45 26.4107 18.0686 32.1148 41.46
42 36 21.1844 8.95662 32.1082 35.8981
42 36 20.1844 11.0268 32.1082 35.8981
40 30 31.3621 6.35742 32.1027 35.8919
40 30 28.4219 5.76141 32.1027 35.8919
40 32 19.8915 25.0665 32.088 32.088
48 2 14.297 18.0165 32.0819 50.7259
48 2 12.4322 15.6665 32.0819 50.7259
41 33 20.2045 20.8033 32.0772 32.0772
39 29 23.9476 10.1249 32.0739 32.0739
29 5 29 0 32.0654 25.3499
42 38 18.4212 7.78837 32.0526 32.0526
42 34 20.2045 20.8033 32.048 35.8307
43 39 25.8701 2.59567 32.0442 41.3688
38 31 15.2968 12.8844 32.0431 25.3323
47 17 12.4322 15.6665 32.0331 41.3545
41 36 18.4212 7.78837 32.0323 32.0323
26 1 13.9341 14.3471 32.0314 22.6496
42 32 23 0 32.0183 35.7976
44 37 18.9827 12.9868 31.9898 41.2987
44 37 21.4587 14.6807 31.9898 41.2987
